No.,Date,Time,Millitm,{Air_TC},{Air_Temp_SP},{Vessel_Pressure},{Vessel_Press_SP},{Vacuum_Man},{Ave_TC},{Lead_TC},{Lag_TC},{Leading_TC},{Lagging_TC},{VacGroup_1},{VacGroup_2},{VacGroup_3},{VacGroup_4},{VacGroup_5},{VacGroup_6},{Part_TC1},{Part_TC10},{Part_TC11},{Part_TC12},{Part_TC2},{Part_TC3},{Part_TC4},{Part_TC5},{Part_TC6},{Part_TC7},{Part_TC8},{Part_TC9}
Desc,,,,Average of the Air TCs,Air Temperature Setpoint to PID,Vessel Pressure,Vessel Pressure Setpoint,Vacuum on the Manifold,Average of the Part TCs,Leading Part TC,Lagging Part TC,TC Number That is Reading the Highest,TC Number That is Reading the Lowest,Vacuum on the #1 Sensor,Vacuum on the #2 Sensor,Vacuum on the #3 Sensor,Vacuum on the #4 Sensor,Vacuum on the #5 Sensor,Vacuum on the #6 Sensor,Part TC #1,Part TC #10,Part TC #11,Part TC #12,Part TC #2,Part TC #3,Part TC #4,Part TC #5,Part TC #6,Part TC #7,Part TC #8,Part TC #9
1,1/23/2020,9:19:53,370,51.150002,51.150002,0,0,0.41854,71.200005,71.200005,71.200005,1,1,0.46778,-0.04924,-0.02462,0.14772,0.78784,0.22158,0,0,0,0,0,0,0,0,0,0,0,0
2,1/23/2020,9:20:03,367,51.150002,51.150002,0,0,-0.2462,71.200005,71.200005,71.200005,1,1,0.34468,-0.04924,-0.09848,0.17234,0.81246,0.14772,0,0,0,0,0,0,0,0,0,0,0,0
3,1/23/2020,9:20:13,364,51.150002,51.150002,0,0,0.27082,71.200005,71.200005,71.200005,1,1,0.59088,-0.09848,-0.09848,0.17234,0.81246,0.22158,0,10,0,0,0,10,0,0,0,0,0,0
4,1/23/2020,9:20:23,367,51.150002,51.150002,0,0,0.7386,71.200005,71.200005,71.200005,1,1,0.51702,-0.09848,-0.09848,0.09848,0.78784,0.17234,0,0,0,0,0,0,0,0,0,0,0,0
5,1/23/2020,9:20:33,364,51.150002,51.150002,0,0,-0.04924,71.200005,71.200005,71.200005,1,1,0.59088,-0.09848,-0.1231,0.1231,0.76322,0.17234,0,0,0,0,0,0,0,0,0,0,0,0
6,1/23/2020,9:20:43,361,51.150002,51.150002,0,0,-0.04924,71.200005,71.200005,71.200005,1,1,0.56626,-0.07386,-0.1231,0.14772,0.78784,0.09848,14,0,0,5,0,0,0,0,0,0,0,0
7,1/23/2020,9:20:53,359,51.150002,51.150002,0,0,0.09848,71.200005,71.200005,71.200005,1,1,0.51702,-0.07386,-0.09848,0.1231,0.78784,0.1231,0,0,0,0,0,0,0,0,0,0,0,0
8,1/23/2020,9:21:03,362,51.150002,51.150002,0,0,-0.66474,71.200005,71.200005,71.200005,1,1,0.66474,0,-0.14772,0.17234,0.78784,0.14772,0,0,0,0,0,0,0,0,0,0,0,0
9,1/23/2020,9:21:13,360,51.150002,51.150002,0,0,0.2462,71.200005,71.200005,71.200005,1,1,0.6155,-0.02462,-0.1231,0.1231,0.81246,0.1231,0,0,0,0,0,0,0,0,0,0,0,0
10,1/23/2020,9:21:23,359,51.299999,51.299999,0,0,0.34468,71.200005,71.200005,71.200005,1,1,0.78784,-0.02462,-0.1231,0.14772,0.76322,0.07386,0,0,0,0,0,0,0,0,0,0,0,0
11,1/23/2020,9:21:33,358,51.400002,51.400002,0,0,-0.54164,71.200005,71.200005,71.200005,1,1,0.7386,-0.02462,-0.14772,0.14772,0.76322,0.09848,0,0,0,0,0,0,0,0,0,0,0,0
12,1/23/2020,9:21:43,368,51.450001,51.450001,0,0,-23.881399,71.200005,71.200005,71.200005,1,1,0.64012,-0.02462,-0.14772,0.17234,0.78784,0.02462,0,0,0,0,0,0,0,0,0,0,0,0
13,1/23/2020,9:21:53,368,51.400002,51.400002,0,0,-25.333981,71.200005,71.200005,71.200005,1,1,0.83708,-0.04924,-0.1231,0.1231,0.81246,0.07386,0,0,0,0,0,0,0,0,0,0,0,0
14,1/23/2020,9:22:03,365,51.350002,51.350002,0,0,-25.13702,71.200005,71.200005,71.200005,1,1,0.88632,-0.04924,-0.14772,0.17234,0.7386,0.02462,0,0,0,0,0,0,0,0,0,0,0,0
15,1/23/2020,9:22:13,364,51.400002,51.400002,0,0,-24.693859,71.200005,71.200005,71.200005,1,1,0.78784,-0.02462,-0.14772,0.14772,0.76322,0.02462,0,0,0,0,0,0,0,0,0,0,0,0
16,1/23/2020,9:22:23,357,51.450001,51.450001,0,0,-25.752522,71.200005,71.200005,71.200005,1,1,0.66474,0,-0.17234,0.1231,0.7386,0.02462,0,0,0,0,0,0,0,0,0,0,0,0
17,1/23/2020,9:22:33,363,51.5,51.5,0,0,-24.669239,71.200005,71.200005,71.200005,1,1,0.6155,0,-0.1231,0.17234,0.81246,0.1231,0,0,0,0,0,0,0,0,0,0,0,0
18,1/23/2020,9:22:43,363,51.5,51.5,0,0,-25.333981,71.200005,71.200005,71.200005,1,1,0.51702,-0.02462,-0.14772,0.17234,0.78784,0.07386,0,0,0,0,0,0,0,0,0,0,0,0
